Filename,Source,Word,V_pre,V_pre_dur,Segment,V_post,V_post_dur,VOT_beg,VOT_end,VOT,CLO 
VOT_examples,English DHW,ga,v_pre$,-999.0,g,a,571.9,255.2,116.6,-138.6,138.6 
VOT_examples,English DHW,ga,v_pre$,-999.0,g,a,518.5,1247.8,1264.7,16.9,-999.0 
VOT_examples,English DHW,ka,v_pre$,-999.0,k,a,371.6,2110.4,2157.1,46.7,-999.0 
VOT_examples,English DHW,ga,v_pre$,-999.0,g,a,512.3,2959.7,2763.0,-196.6,196.6 
VOT_examples,English DHW,ka,v_pre$,-999.0,k,a,383.7,3724.5,3779.4,55.0,-999.0 
VOT_examples,English DHW,books,v_pre$,-999.0,b,ʊ,88.7,4596.9,4605.9,8.9,-999.0 
VOT_examples,English DHW,two books,v_pre$,-999.0,b,v_post$,-999.0,5446.1,5379.1,-67.0,67.0 
VOT_examples,English DHW,tugging,v_pre$,-999.0,g,i,51.3,6381.1,6333.6,-47.5,47.5 
VOT_examples,English DHW,tucking,v_pre$,-999.0,k,i,76.4,6916.1,6944.1,28.0,62.4 
VOT_examples,ASA: L2 Thai L2 Sgaw,aba,a,99.2,b,a,422.6,7941.8,7779.6,-162.1,162.1 
VOT_examples,ASA: L2 Thai L2 Sgaw,apa,a,110.5,p,a,437.0,8822.8,8834.1,11.3,171.5 
VOT_examples,Thai: UCLA,dam,v_pre$,-999.0,d,a,217.1,13215.5,13127.2,-88.3,88.3 
VOT_examples,Thai: UCLA,tam,v_pre$,-999.0,t,a,183.9,14273.8,14290.7,16.9,-999.0 
VOT_examples,Malagasy Howe,bao,v_pre$,-999.0,b,ao,110.2,16843.7,16713.5,-130.2,130.2 
VOT_examples,Malagasy Howe,bo,v_pre$,-999.0,b,o,230.7,17909.6,17583.3,-326.3,326.3 
